词语	T拼音	通用语
罢课	ba4ke4	bake
把口	ba3kou3	bakou
扒拉	ba1la1	bala
把揽	ba3lan3	balan
把牢	ba3lao2	balao
罢了	ba4le5	bale
芭蕾	ba1lei3	balei
芭蕾舞	ba1lei3wu3	baleiu
巴列斯库	ba1lie4si1ku4	baliesku
八路	ba1lu4	balu
八路军	ba1lu4jun1	balu-jvn
爸妈	ba4ma1	bama
把脉	ba3mai4	bamai
拔毛	ba2mao2	bamao
把门	ba3men2	bamen
拔苗助长	ba2miao2zhu4zhang3	bamiaozhuzhag
罢免	ba4mian3	bamib
八面玲珑	ba1mian4ling2long2	bamibliglog
八面威风	ba1mian4wei1feng1	bamibuifeg
办案	ban4an4	banan
斑驳	ban1bo2	banb
半百	ban4bai3	banbai
斑斑	ban1ban1	banban
斑斑驳驳	ban1ban1bo2bo2	banbanbb
斑斑点点	ban1ban1dian3dian3	banbandibdib
半饱	ban4bao3	banbao
半辈子	ban4bei4zi5	banbeiz
版本	ban3ben3	banben
半壁	ban4bi4	banbi
半边	ban4bian1	banbib
半边天	ban4bian1tian1	banbibtib
颁布	ban1bu4	banbu
班次	ban1ci4	banc
板擦	ban3ca1	banca
板材	ban3cai2	bancai
伴唱	ban4chang4	banchag
办差	ban4chai1	banchai
班禅	ban1chan2	banchan
班车	ban1che1	banche
办成	ban4cheng2	bancheg
半成品	ban4cheng2pin3	banchegpin
搬出	ban1chu1	banchu
板床	ban3chuang2	banchuag
办错	ban4cuo4	bancuo
半大	ban4da4	banda
半大不小	ban4da4bu4xiao3	bandabuxiao
伴当	ban4dang1	bandag
半岛	ban4dao3	bandao
半导体	ban4dao3ti3	bandaoti
板凳	ban3deng4	bandeg
班底	ban1di3	bandi
搬掉	ban1diao4	bandiao
半吊子	ban4diao4zi5	bandiaoz
半点	ban4dian3	bandib
搬动	ban1dong4	bandog
伴读	ban4du2	bandu
办法	ban4fa3	banfa
班房	ban1fang2	banfag
半疯	ban4feng1	banfeg
半封建	ban4feng1jian4	banfegjib
班费	ban1fei4	banfei
半分	ban4fen1	banfen
板斧	ban3fu3	banfu
班干部	ban1gan4bu4	banganbu
颁给	ban1gei3	bangei
办公	ban4gong1	bangog
半工半读	ban4gong1ban4du2	bangogbandu
办公处	ban4gong1chu4	bangogchu
办公费	ban4gong1fei4	bangogfei
办公会	ban4gong1hui4	bangoghui
半公开	ban4gong1kai1	bangogkai
办公楼	ban4gong1lou2	bangoglou
办公室	ban4gong1shi4	bangogshi
办公厅	ban4gong1ting1	bangogtig
办公桌	ban4gong1zhuo1	bangogzhuo
半官方	ban4guan1fang1	bangubfag
扮鬼脸	ban4gui3lian3	banguilib
半酣	ban4han1	banhan
办好	ban4hao3	banhao
斑痕	ban1hen2	banhen
版画	ban3hua4	banhua
版画家	ban3hua4jia1	banhuajia
班会	ban1hui4	banhui
拌和	ban4huo4	banhuo
搬移	ban1yi2	bani
板牙	ban3ya2	bania
半腰	ban4yao1	baniao
把尿	ba3niao4	ba-niao
扮演	ban4yan3	banib
半夜	ban4ye4	banie
半夜里	ban4ye4li3	banieli
半夜三更	ban4ye4san1geng1	baniesangeg
伴音	ban4yin1	banin
搬用	ban1yong4	baniog
伴游	ban4you2	baniu
班机	ban1ji1	banj
半价	ban4jia4	banjia
颁奖	ban1jiang3	banjiag
绊脚	ban4jiao3	banjiao
绊脚石	ban4jiao3shi2	banjiaoshi
半截	ban4jie2	banjie
半径	ban4jing4	banjig
板金	ban3jin1	banjin
半斤八两	ban4jin1ba1liang3	banjinbaliag
半旧	ban4jiu4	banjiu
搬救兵	ban1jiu4bing1	banjiubig
半决赛	ban4jue2sai4	banjvesai
办卡	ban4ka3	banka
半开	ban4kai1	bankai
办刊	ban4kan1	bankan
半空	ban4kong1	bankog
半空中	ban4kong1zhong1	bankogzhog
板块	ban3kuai4	bankuai
半拉	ban4la3	banla
伴郎	ban4lang2	banlag
搬来	ban1lai2	banlai
斑斓	ban1lan2	banlan
半老徐娘	ban4lao3xu2niang2	banlaoxv-niag
半拉子	ban4la3zi5	banlaz
办理	ban4li3	banli
扮靓	ban4liang4	banliag
板脸	ban3lian3	banlib
半路	ban4lu4	banlu
半路出家	ban4lu4chu1jia1	banlu-chujia
班轮	ban1lun2	banlun
半路上	ban4lu4shang4	banlu-shag
伴侣	ban4lv3	banlv
斑马	ban1ma3	banma
斑马线	ban1ma3xian4	banmaxib
半梦半醒	ban4meng4ban4xing3	banmegbanxig
班门弄斧	ban1men2nong4fu3	banmennogfu
版面	ban3mian4	banmib
半明半暗	ban4ming2ban4an4	banmigbanan
瓣膜	ban4mo2	banmo
伴娘	ban4niang2	banniag
半年	ban4nian2	bannib
搬弄	ban1nong4	bannog
搬弄是非	ban1nong4shi4fei1	bannogshifei
把弄	ba3nong4	ba-nog
半坡	ban4po1	banp
般配	ban1pei4	banpei
板坯	ban3pi1	banpi
半票	ban4piao4	banpiao
扳平	ban1ping2	banpig
板铺	ban3pu4	banpu
搬起	ban1qi3	banq
板墙	ban3qiang2	banqiag
搬迁	ban1qian1	banqib
半球	ban4qiu2	banqiu
搬去	ban1qu4	banqv
版权	ban3quan2	banqvb
版权法	ban3quan2fa3	banqvbfa
版权局	ban3quan2ju2	banqvbjv
半日	ban4ri4	banr
搬入	ban1ru4	banru
半死	ban4si3	bans
办丧事	ban4sang1shi4	bansagshi
半死不活	ban4si3bu4huo2	bansbuhuo
半晌	ban4shang3	banshag
板上钉钉	ban3shang4ding4ding1	banshagdigdig
半山腰	ban4shan1yao1	banshaniao
半山坡	ban4shan1po1	banshanp
半生	ban4sheng1	bansheg
半生不熟	ban4sheng1bu4shu2	banshegbushu
半身	ban4shen1	banshen
半身不遂	ban4shen1bu4sui2	banshenbusui
半身像	ban4shen1xiang4	banshenxiag
半世	ban4shi4	banshi
办事处	ban4shi4chu4	banshichu
办事员	ban4shi4yuan2	banshivb
扳手	ban1shou3	banshou
半数	ban4shu4	banshu
半衰期	ban4shuai1qi1	banshuaiq
版税	ban3shui4	banshui
半睡半醒	ban4shui4ban4xing3	banshuibanxig
伴随	ban4sui2	bansui
半瘫痪	ban4tan1huan4	bantanhub
板条	ban3tiao2	bantiao
半天	ban4tian1	bantib
伴同	ban4tong2	bantog
版头	ban3tou2	bantou
半透明	ban4tou4ming2	bantoumig
半途	ban4tu2	bantu
半途而废	ban4tu2er2fei4	bantuerfei
半推半就	ban4tui1ban4jiu4	bantuibanjiu
办妥	ban4tuo3	bantuo
伴舞	ban4wu3	banu
办完	ban4wan2	banub
斑纹	ban1wen2	banun
半文盲	ban4wen2mang2	banunmag
吧女	ba1nv3	ba-nv
半圆	ban4yuan2	banvb
半圆形	ban4yuan2xing2	banvbxig
半月	ban4yue4	banve
半月刊	ban4yue4kan1	banvekan
半月形	ban4yue4xing2	banvexig
搬运	ban1yun4	banvn
搬运工	ban1yun4gong1	banvngog
搬下	ban1xia4	banxia
扮相	ban4xiang4	banxiag
办校	ban4xiao4	banxiao
半醒	ban4xing3	banxig
半新	ban4xin1	banxin
半信半疑	ban4xin4ban4yi2	banxinbani
半新不旧	ban4xin1bu4jiu4	banxinbujiu
半袖	ban4xiu4	banxiu
办喜事	ban4xi3shi4	banxshi
办学	ban4xue2	banxve
伴儿	ban4er1	banyr
半子	ban4zi3	banz
半自动	ban4zi4dong4	banzdog
班长	ban1zhang3	banzhag
颁证	ban1zheng4	banzheg
板着脸	ban3zhe5lian3	banzhelib
斑疹	ban1zhen3	banzhen
半真半假	ban4zhen1ban4jia3	banzhenbanjia
版纸	ban3zhi3	banzhi
扳住	ban1zhu4	banzhu
扮装	ban4zhuang1	banzhuag
班主任	ban1zhu3ren4	banzhuren
伴奏	ban4zou4	banzou
班组	ban1zu3	banzu
半醉	ban4zui4	banzui
扮作	ban4zuo4	banzuo
班组长	ban1zu3zhang3	banzuzhag
保安	bao3an1	baoan
保安部	bao3an1bu4	baoanbu
保安队	bao3an1dui4	baoandui
保安员	bao3an1yuan2	baoanvb
包办	bao1ban4	baoban
包办婚姻	bao1ban4hun1yin1	baobanhunin
宝宝	bao3bao3	baobao
宝贝	bao3bei4	baobei
保本	bao3ben3	baoben
包庇	bao1bi4	baobi
报表	bao4biao3	baobiao
褒贬	bao1bian3	baobib
抱病	bao4bing4	baobig
包庇罪	bao1bi4zui4	baobizui
保不定	bao3bu4ding4	baobudig
抱不平	bao4bu4ping2	baobupig
保不住	bao3bu4zhu4	baobuzhu
保不准	bao3bu4zhun3	baobuzhun
包藏	bao1cang2	baocag
包藏祸心	bao1cang2huo4xin1	baocaghuoxin
饱餐	bao3can1	baocan
抱残守缺	bao4can2shou3que1	baocanshouqve
报偿	bao4chang2	baochag
包产	bao1chan3	baochan
包产到户	bao1chan3dao4hu4	baochandaohu
包抄	bao1chao1	baochao
包车	bao1che1	baoche
宝成	bao3cheng2	baocheg
抱成一团	bao4cheng2yi1tuan2	baochegitub
保持	bao3chi2	baochi
保持者	bao3chi2zhe3	baochizhe
报酬	bao4chou2	baochou
报仇雪耻	bao4chou2xue3chi3	baochouxvechi
报仇雪恨	bao4chou2xue3hen4	baochouxvehen
抱出	bao4chu1	baochu
报春	bao4chun1	baochun
报春花	bao4chun1hua1	baochunhua
薄脆	bao2cui4	baocui
保存	bao3cun2	baocun
保存期	bao3cun2qi1	baocunq
报答	bao4da2	baoda
保单	bao3dan1	baodan
报道	bao4dao4	baodao
宝刀不老	bao3dao1bu4lao3	baodaobulao
包打听	bao1da3ting1	baodatig
报德	bao4de2	baode
保得住	bao3de5zhu4	baodezhu
保底	bao3di3	baodi
宝典	bao3dian3	baodib
暴跌	bao4die1	baodie
抱定	bao4ding4	baodig
暴动	bao4dong4	baodog
饱读	bao3du2	baodu
报端	bao4duan1	baodub
保额	bao3e2	baoe
报恩	bao4en1	baoen
饱耳福	bao3er3fu2	baoerfu
包二奶	bao1er4nai3	baoernai
爆发	bao4fa1	baofa
包房	bao1fang2	baofag
暴发户	bao4fa1hu4	baofahu
爆发力	bao4fa1li4	baofali
饱饭	bao3fan4	baofan
暴风	bao4feng1	baofeg
暴风雨	bao4feng1yu3	baofegv
暴风雪	bao4feng1xue3	baofegxve
暴风骤雨	bao4feng1zhou4yu3	baofegzhouv
报废	bao4fei4	baofei
抱佛脚	bao4fo2jiao3	baofojiao
报复	bao4fu4	baofu
包袱皮	bao1fu2pi2	baofu-pi
饱嗝	bao3ge2	baog
包干	bao1gan1	baogan
包干制	bao1gan1zhi4	baoganzhi
报告	bao4gao4	baogao
报告单	bao4gao4dan1	baogaodan
报告会	bao4gao4hui4	baogaohui
报告团	bao4gao4tuan2	baogaotub
包给	bao1gei3	baogei
刨根问底	bao4gen1wen4di3	baogenundi
包工	bao1gong1	baogog
包工队	bao1gong1dui4	baogogdui
包工头	bao1gong1tou2	baogogtou
苞谷	bao1gu3	baogu
曝光	bao4guang1	baoguag
曝光量	bao4guang1liang4	baoguagliag
保管	bao3guan3	baogub
保管费	bao3guan3fei4	baogubfei
保管员	bao3guan3yuan2	baogubvb
保管箱	bao3guan3xiang1	baogubxiag
宝贵	bao3gui4	baogui
包裹	bao1guo3	baoguo
饱和	bao3he2	baoh
包含	bao1han2	baohan
包含有	bao1han2you3	baohaniu
包好	bao1hao3	baohao
饱和度	bao3he2du4	baohdu
抱恨	bao4hen4	baohen
暴吼	bao4hou3	baohou
保护	bao3hu4	baohu
报话	bao4hua4	baohua
保皇	bao3huang2	baohuag
保皇党	bao3huang2dang3	baohuagdag
保皇派	bao3huang2pai4	baohuagpai
报话机	bao4hua4ji1	baohuaj
包换	bao1huan4	baohub
保护层	bao3hu4ceng2	baohuceg
保护法	bao3hu4fa3	baohufa
保护国	bao3hu4guo2	baohuguo
抱回	bao4hui2	baohui
保护价	bao3hu4jia4	baohujia
保护膜	bao3hu4mo2	baohum
保护器	bao3hu4qi4	baohuq
保护区	bao3hu4qu1	baohuqv
保护人	bao3hu4ren2	baohuren
保护伞	bao3hu4san3	baohusan
保护色	bao3hu4se4	baohuse
保护神	bao3hu4shen2	baohushen
保护性	bao3hu4xing4	baohuxig
保护者	bao3hu4zhe3	baohuzhe
褒义	bao1yi4	baoi
保养	bao3yang3	baoiag
饱眼福	bao3yan3fu2	baoibfu
报业	bao4ye4	baoie
报应	bao4ying4	baoig
暴饮	bao4yin3	baoin
暴饮暴食	bao4yin3bao4shi2	baoinbaoshi
保佑	bao3you4	baoiu
保有量	bao3you3liang4	baoiuliag
保级	bao3ji2	baoj
报价	bao4jia4	baojia
报价单	bao4jia4dan1	baojiadan
褒奖	bao1jiang3	baojiag
保驾护航	bao3jia4hu4hang2	baojiahuhag
包饺子	bao1jiao3zi5	baojiaoz
保家卫国	bao3jia1wei4guo2	baojiauiguo
保健	bao3jian4	baojib
保健操	bao3jian4cao1	baojibcao
保健品	bao3jian4pin3	baojibpin
保健室	bao3jian4shi4	baojibshi
保健所	bao3jian4suo3	baojibsuo
保健网	bao3jian4wang3	baojibuag
保健站	bao3jian4zhan4	baojibzhan
保洁	bao3jie2	baojie
报警	bao4jing3	baojig
饱经沧桑	bao3jing1cang1sang1	baojigcagsag
饱经风霜	bao3jing1feng1shuang1	baojigfegshuag
饱经忧患	bao3jing1you1huan4	baojigiuhub
报警器	bao4jing3qi4	baojigq
抱紧	bao4jin3	baojin
薄酒	bao2jiu3	baojiu
保举	bao3ju3	baojv
宝卷	bao3juan4	baojvb
暴君	bao4jun1	baojvn
爆开	bao4kai1	baokai
报刊	bao4kan1	baokan
报考	bao4kao3	baokao
宝库	bao3ku4	baoku
抱愧	bao4kui4	baokui
包括	bao1kuo4	baokuo
抱来	bao4lai2	baolai
包揽	bao1lan3	baolan
爆冷门	bao4leng3men2	baolegmen
堡垒	bao3lei3	baolei
暴力	bao4li4	baoli
保量	bao3liang4	baoliag
包料	bao1liao4	baoliao
暴敛	bao4lian3	baolib
暴烈	bao4lie4	baolie
保龄球	bao3ling2qiu2	baoligqiu
保留	bao3liu2	baoliu
暴露	bao4lu4	baolu
暴乱	bao4luan4	baolub
包罗	bao1luo2	baoluo
包罗万象	bao1luo2wan4xiang4	baoluoubxiag
暴露无遗	bao4lu4wu2yi2	baoluu-i
宝马	bao3ma3	baoma
饱满	bao3man3	baoman
胞妹	bao1mei4	baomei
保密	bao3mi4	baomi
薄面	bao2mian4	baomib
报名	bao4ming2	baomig
报名表	bao4ming2biao3	baomigbiao
报名处	bao4ming2chu4	baomigchu
报名点	bao4ming2dian3	baomigdib
报名费	bao4ming2fei4	baomigfei
报名者	bao4ming2zhe3	baomigzhe
爆米花	bao4mi3hua1	baomi-hua
暴民	bao4min2	baomin
保密性	bao3mi4xing4	baomi-xig
薄膜	bao2mo2	baomo
保姆	bao3mu3	baomu
暴怒	bao4nu4	baonu
保暖	bao3nuan3	baonub
暴虐	bao4nve4	baonve
爆破	bao4po4	baop
包赔	bao1pei2	baopei
包皮	bao1pi2	baopi
包票	bao1piao4	baopiao
薄片	bao2pian4	baopib
包起	bao1qi3	baoq
抱歉	bao4qian4	baoqib
报请	bao4qing3	baoqig
抱屈	bao4qu1	baoqv
保全	bao3quan2	baoqvb
保人	bao3ren2	baoren
包容	bao1rong2	baorog
暴死	bao4si3	baos
报丧	bao4sang1	baosag
薄纱	bao2sha1	baosha
包上	bao1shang4	baoshag
保山	bao3shan1	baoshan
报社	bao4she4	baoshe
报审	bao4shen3	baoshen
宝石	bao3shi2	baoshi
保释金	bao3shi4jin1	baoshijin
饱食终日	bao3shi2zhong1ri4	baoshizhogr
保守	bao3shou3	baoshou
保守党	bao3shou3dang3	baoshoudag
保守派	bao3shou3pai4	baoshoupai
报数	bao4shu4	baoshu
保税	bao3shui4	baoshui
保税区	bao3shui4qu1	baoshuiqv
保送	bao3song4	baosog
宝塔	bao3ta3	baota
报摊	bao4tan1	baotan
暴跳	bao4tiao4	baotiao
暴跳如雷	bao4tiao4ru2lei2	baotiaorulei
薄田	bao2tian2	baotib
暴殄天物	bao4tian3tian1wu4	baotibtibu
报亭	bao4ting2	baotig
报童	bao4tong2	baotog
抱头	bao4tou2	baotou
抱头大哭	bao4tou2da4ku1	baotoudaku
抱头鼠窜	bao4tou2shu3cuan4	baotoushucub
抱头痛哭	bao4tou2tong4ku1	baotoutogku
暴徒	bao4tu2	baotu
包退	bao1tui4	baotui
宝物	bao3wu4	baou
暴亡	bao4wang2	baouag
保外就医	bao3wai4jiu4yi1	baouaijiui
宝玩	bao3wan2	baoub
保卫	bao3wei4	baoui
保卫部	bao3wei4bu4	baouibu
保卫处	bao3wei4chu4	baouichu
包围圈	bao1wei2quan1	baouiqvb
保卫战	bao3wei4zhan4	baouizhan
保温	bao3wen1	baoun
保温杯	bao3wen1bei1	baounbei
保温层	bao3wen1ceng2	baounceg
保温瓶	bao3wen1ping2	baounpig
报务员	bao4wu4yuan2	baouvb
暴雨	bao4yu3	baov
抱怨	bao4yuan4	baovb
包月	bao1yue4	baove
保育员	bao3yu4yuan2	baovvb
报喜	bao4xi3	baox
包下	bao1xia4	baoxia
包厢	bao1xiang1	baoxiag
包下来	bao1xia4lai2	baoxialai
报销	bao4xiao1	baoxiao
保险	bao3xian3	baoxib
保险单	bao3xian3dan1	baoxibdan
保险法	bao3xian3fa3	baoxibfa
保险费	bao3xian3fei4	baoxibfei
保险杠	bao3xian3gang4	baoxibgag
保险柜	bao3xian3gui4	baoxibgui
保险业	bao3xian3ye4	baoxibie
保鲜剂	bao3xian1ji4	baoxibj
保险金	bao3xian3jin1	baoxibjin
保险期	bao3xian3qi1	baoxibq
保险人	bao3xian3ren2	baoxibren
保险丝	bao3xian3si1	baoxibs
保险套	bao3xian3tao4	baoxibtao
保险箱	bao3xian3xiang1	baoxibxiag
报协	bao4xie2	baoxie
暴行	bao4xing2	baoxig
报信	bao4xin4	baoxin
包辛格	bao1xin1ge2	baoxing
包辛尼斯克	bao1xin1ni2si1ke4	baoxinnisk
胞兄	bao1xiong1	baoxiog
胞兄弟	bao1xiong1di4	baoxiogdi
保修	bao3xiu1	baoxiu
保修期	bao3xiu1qi1	baoxiuq
暴雪	bao4xue3	baoxve
包儿	bao1er1	baoyr
包子	bao1zi5	baoz
包扎	bao1za1	baoza
宝藏	bao3zang4	baozag
报载	bao4zai3	baozai
暴躁	bao4zao4	baozao
豹子胆	bao4zi5dan3	baozdan
爆炸	bao4zha4	baozha
爆炸案	bao4zha4an4	baozhaan
保障	bao3zhang4	baozhag
爆炸力	bao4zha4li4	baozhali
报站	bao4zhan4	baozhan
爆炸物	bao4zha4wu4	baozhau
爆炸性	bao4zha4xing4	baozhaxig
保证	bao3zheng4	baozheg
保证金	bao3zheng4jin1	baozhegjin
保证人	bao3zheng4ren2	baozhegren
保证书	bao3zheng4shu1	baozhegshu
保真	bao3zhen1	baozhen
报纸	bao4zhi3	baozhi
包治百病	bao1zhi4bai3bing4	baozhi-baibig
保质期	bao3zhi4qi1	baozhiq
保重	bao3zhong4	baozhog
抱住	bao4zhu4	baozhu
包装	bao1zhuang1	baozhuag
包装袋	bao1zhuang1dai4	baozhuagdai
包装工	bao1zhuang1gong1	baozhuaggog
包装盒	bao1zhuang1he2	baozhuagh
包装机	bao1zhuang1ji1	baozhuagj
包装箱	bao1zhuang1xiang1	baozhuagxiag
包装纸	bao1zhuang1zhi3	baozhuagzhi
保准	bao3zhun3	baozhun
爆竹声	bao4zhu2sheng1	baozhusheg
抱走	bao4zou3	baozou
包租	bao1zu1	baozu
宝座	bao3zuo4	baozuo
扒皮	ba1pi2	bapi
霸气	ba4qi4	baq
拔枪	ba2qiang1	baqiag
拔去	ba2qu4	baqv
霸权	ba4quan2	baqvb
八旗子弟	ba1qi2zi3di4	baqzdi
巴人	ba1ren2	baren
罢赛	ba4sai4	basai
扒上	ba1shang4	bashag
跋山涉水	ba2shan1she4shui3	bashansheshui
巴山蜀水	ba1shan1shu3shui3	bashanshushui
跋涉	ba2she4	bashe
巴士	ba1shi4	bashi
把守	ba3shou3	bashou
巴松	ba1song1	basog
巴塔	ba1ta3	bata
吧台	ba1tai2	batai
把头	ba3tou2	batou
拔头筹	ba2tou2chou2	batouchou
拔腿	ba2tui3	batui
巴图鲁	ba1tu2lu3	batulu
霸王	ba4wang2	bauag
霸王别姬	ba4wang2bie2ji1	bauagbiej
把玩	ba3wan2	baub
把稳	ba3wen3	baun
把握	ba3wo4	bauo
把戏	ba3xi4	bax
巴西队	ba1xi1dui4	baxdui
拔下	ba2xia4	baxia
罢相	ba4xiang4	baxiag
八仙	ba1xian1	baxib
八仙过海	ba1xian1guo4hai3	baxibguohai
八仙桌	ba1xian1zhuo1	baxibzhuo
靶心	ba3xin1	baxin
把兄	ba3xiong1	baxiog
把兄弟	ba3xiong1di4	baxiogdi
罢休	ba4xiu1	baxiu
巴西人	ba1xi1ren2	baxren
把儿	ba4er1	bayr
叭儿狗	ba1er1gou3	bayrgou
八字	ba1zi4	baz
巴掌	ba1zhang3	bazhag
霸占	ba4zhan4	bazhan
罢职	ba4zhi2	bazhi
把住	ba3zhu4	bazhu
拔擢	ba2zhuo2	bazhuo
八字胡	ba1zi4hu2	bazihu
把总	ba3zong3	bazog
拔足	ba2zu2	bazu
播报	bo1bao4	bbao
伯伯	bo2bo2	bbo
勃勃生机	bo2bo2sheng1ji1	bbshegj
菠菜	bo1cai4	bcai
博采众长	bo2cai3zhong4chang2	bcaizhogchag
波长	bo1chang2	bchag
泊车	bo2che1	bche
驳斥	bo2chi4	bchi
播出	bo1chu1	bchu
驳船	bo2chuan2	bchub
拨错	bo1cuo4	bcuo
拨打	bo1da3	bda
波荡	bo1dang4	bdag
博大精深	bo2da4jing1shen1	bdajigshen
博导	bo2dao3	bdao
博得	bo2de2	bde
波动	bo1dong4	bdog
搏斗	bo2dou4	bdou
波段	bo1duan4	bdub
剥夺	bo1duo2	bduo
蹦蹦跳跳	beng4beng4tiao4tiao4	begbegtiaotiao
迸出	beng4chu1	begchu
蹦床	beng4chuang2	begchuag
绷带	beng1dai4	begdai
绷断	beng4duan4	begdub
迸发	beng4fa1	begfa
泵房	beng4fang2	begfag
崩坏	beng1huai4	beghuai
泵业	beng4ye4	begie
蹦极	beng4ji2	begj
迸溅	beng4jian4	begjib
崩解	beng1jie3	begjie
绷紧	beng1jin3	begjin
崩溃	beng1kui4	begkui
蹦来	beng4lai2	beglai
崩裂	beng1lie4	beglie
迸流	beng4liu2	begliu
崩落	beng1luo4	begluo
崩盘	beng1pan2	begpan
蹦起	beng4qi3	begq
迸射	beng4she4	begshe
崩塌	beng1ta1	begta
甭提	beng2ti2	begti
蹦跳	beng4tiao4	begtiao
甭想	beng2xiang3	begxiag
泵站	beng4zhan4	begzhan
绷着脸	beng3zhe5lian3	begzhelib
悲哀	bei1ai1	beiai
备案	bei4an4	beian
备办	bei4ban4	beiban
北半球	bei3ban4qiu2	beibanqiu
背包	bei4bao1	beibao
背包袱	bei1bao1fu2	beibaofu
悲悲切切	bei1bei1qie4qie4	beibeiqieqie
卑鄙	bei1bi3	beibi
北边	bei3bian1	beibib
卑鄙无耻	bei1bi3wu2chi3	beibi-uchi
被逼无奈	bei4bi1wu2nai4	beibi-u-nai
卑鄙龌龊	bei1bi3wo4chuo4	beibi-uochuo
北部	bei3bu4	beibu
被刺	bei4ci4	beic
悲惨	bei1can3	beican
北侧	bei3ce4	beice
备查	bei4cha2	beicha
北朝	bei3chao2	beichao
备车	bei4che1	beiche
北辰	bei3chen2	beichen
悲愁	bei1chou2	beichou
辈出	bei4chu1	beichu
悲怆	bei1chuang4	beichuag
悲从中来	bei1cong2zhong1lai2	beicogzhoglai
北大	bei3da4	beida
背带	bei1dai4	beidai
被单	bei4dan1	beidan
悲悼	bei1dao4	beidao
背道而驰	bei4dao4er2chi2	beidaoerchi
背地	bei4di4	beidi
背地里	bei4di4li3	beidi-li
被动	bei4dong4	beidog
北斗	bei3dou3	beidou
北斗星	bei3dou3xing1	beidouxig
北端	bei3duan1	beidub
背对背	bei4dui4bei4	beiduibei
贝尔	bei4er3	beier
北伐	bei3fa2	beifa
北方	bei3fang1	beifag
北方佬	bei3fang1lao3	beifaglao
北方人	bei3fang1ren2	beifagren
北伐军	bei3fa2jun1	beifajvn
悖反	bei4fan3	beifan
北风	bei3feng1	beifeg
备份	bei4fen4	beifen
被俘	bei4fu2	beifu
悲歌	bei1ge1	beig
杯盖	bei1gai4	beigai
倍感	bei4gan3	beigan
被告	bei4gao4	beigao
被告人	bei4gao4ren2	beigaoren
被告席	bei4gao4xi2	beigaox
备耕	bei4geng1	beigeg
卑躬屈膝	bei1gong1qu1xi1	beigogqvx
背光	bei4guang1	beiguag
悲观	bei1guan1	beigub
北国	bei3guo2	beiguo
背过气	bei4guo4qi4	beiguoq
背过身	bei4guo4shen1	beiguoshen
北航	bei3hang2	beihag
被害	bei4hai4	beihai
被害人	bei4hai4ren2	beihairen
被害者	bei4hai4zhe3	beihaizhe
北汉	bei3han4	beihan
悲号	bei1hao2	beihao
背黑锅	bei1hei1guo1	beiheiguo
背后	bei4hou4	beihou
备荒	bei4huang1	beihuag
悲欢	bei1huan1	beihub
悲欢离合	bei1huan1li2he2	beihublih
被毁	bei4hui3	beihui
备货	bei4huo4	beihuo
北移	bei3yi2	beii
北亚	bei3ya4	beiia
贝叶	bei4ye4	beiie
背影	bei4ying3	beiig
背阴	bei4yin1	beiin
备用	bei4yong4	beiiog
备有	bei4you3	beiiu
北极	bei3ji2	beij
北极点	bei3ji2dian3	beijdib
北极光	bei3ji2guang1	beijguag
倍加	bei4jia1	beijia
北疆	bei3jiang1	beijiag
北郊	bei3jiao1	beijiao
卑贱	bei1jian4	beijib
北街	bei3jie1	beijie
北京	bei3jing1	beijig
北京话	bei3jing1hua4	beijighua
北京鸭	bei3jing1ya1	beijigia
背井离乡	bei4jing3li2xiang1	beijiglixiag
北京人	bei3jing1ren2	beijigren
被禁	bei4jin4	beijin
备酒	bei4jiu3	beijiu
北极圈	bei3ji2quan1	beijqvb
悲剧	bei1ju4	beijv
被卷	bei4juan3	beijvb
北军	bei3jun1	beijvn
悲剧性	bei1ju4xing4	beijvxig
北极星	bei3ji2xing1	beijxig
北极熊	bei3ji2xiong2	beijxiog
背靠	bei4kao4	beikao
背靠背	bei4kao4bei4	beikaobei
贝可	bei4ke3	beike
贝可勒尔	bei4ke3le4er3	beikeleer
被控	bei4kong4	beikog
北口	bei3kou3	beikou
悲苦	bei1ku3	beiku
贝勒	bei4le4	beile
贝类	bei4lei4	beilei
贝雷帽	bei4lei2mao4	beileimao
背离	bei4li2	beili
悲凉	bei1liang2	beiliag
备料	bei4liao4	beiliao
卑劣	bei1lie4	beilie
碑林	bei1lin2	beilin
背篓	bei1lou3	beilou
北路	bei3lu4	beilu
倍率	bei4lv4	beilv
备马	bei4ma3	beima
北门	bei3men2	beimen
北面	bei3mian4	beimib
悲鸣	bei1ming2	beimig
悲悯	bei1min3	beimin
贝母	bei4mu3	beimu
背囊	bei4nang2	beinag
被难	bei4nan4	beinan
被迫	bei4po4	beip
背叛	bei4pan4	beipan
杯盘狼藉	bei1pan2lang2ji2	beipanlagj
背叛者	bei4pan4zhe3	beipanzhe
北票	bei3piao4	beipiao
备品	bei4pin3	beipin
背弃	bei4qi4	beiq
悲切	bei1qie4	beiqie
悲切切	bei1qie4qie4	beiqieqie
被擒	bei4qin2	beiqin
悲秋	bei1qiu1	beiqiu
北区	bei3qu1	beiqv
背人	bei4ren2	beiren
被褥	bei4ru4	beiru
杯赛	bei1sai4	beisai
悲伤	bei1shang1	beishag
悲声	bei1sheng1	beisheg
背时	bei4shi2	beishi
北师大	bei3shi1da4	beishida
备受	bei4shou4	beishou
倍数	bei4shu4	beishu
杯水车薪	bei1shui3che1xin1	beishuichexin
背水一战	bei4shui3yi1zhan4	beishuiizhan
